matchKey,homeId,awayId,goalsHome,goalsAway
1-17,1,17,1,1
35-54,35,54,2,0
16-60,16,60,1,0
45-31,45,31,0,2
46-42,46,42,1,0
77-79,77,79,0,0
51-45,51,45,0,0
37-45,37,45,1,0
21-4,21,4,0,1
78-32,78,32,1,2
57-17,57,17,0,1
39-17,39,17,1,3
50-23,50,23,1,1
19-4,19,4,2,0
26-69,26,69,0,0
23-71,23,71,2,0
22-55,22,55,1,1
16-21,16,21,1,0
39-3,39,3,1,2
28-61,28,61,2,0
51-54,51,54,2,1
42-34,42,34,1,1
8-58,8,58,2,1
59-71,59,71,1,0
32-59,32,59,1,1
72-77,72,77,0,1
13-32,13,32,0,2
69-80,69,80,0,2
72-11,72,11,0,0
67-78,67,78,1,1
42-69,42,69,2,0
25-62,25,62,3,0
2-65,2,65,1,0
40-54,40,54,3,1
6-27,6,27,0,0
69-49,69,49,2,0
77-32,77,32,0,3
33-27,33,27,2,3
59-51,59,51,3,0
32-23,32,23,2,0
69-49,69,49,3,1
37-1,37,1,0,2
72-19,72,19,0,1
23-12,23,12,1,0
63-41,63,41,3,0
1-18,1,18,2,0
75-58,75,58,0,0
64-40,64,40,2,1
79-14,79,14,0,0
22-77,22,77,2,0
52-49,52,49,2,1
73-42,73,42,1,3
3-57,3,57,3,1
80-27,80,27,1,0
20-12,20,12,2,0
22-5,22,5,0,0
5-23,5,23,1,0
60-80,60,80,0,1
22-44,22,44,3,0
48-67,48,67,1,1
61-58,61,58,2,3
57-78,57,78,2,0
58-37,58,37,0,1
21-74,21,74,1,0
52-44,52,44,2,2
23-30,23,30,2,4
72-53,72,53,1,0
78-33,78,33,0,5
51-64,51,64,3,1
19-37,19,37,3,2
68-25,68,25,1,2
68-5,68,5,0,2
20-74,20,74,1,0
36-2,36,2,0,0
54-8,54,8,0,0
18-79,18,79,3,1
19-30,19,30,0,1
30-39,30,39,2,0
19-11,19,11,2,0
8-47,8,47,2,0
12-21,12,21,4,1
26-21,26,21,1,0
42-31,42,31,1,1
36-74,36,74,3,0
6-37,6,37,1,2
80-50,80,50,1,1
44-17,44,17,1,0
17-23,17,23,1,0
61-28,61,28,1,1
77-30,77,30,0,4
38-27,38,27,1,1
60-45,60,45,0,3
48-35,48,35,0,1
23-57,23,57,1,0
59-63,59,63,1,0
42-32,42,32,0,0
39-46,39,46,1,0
49-63,49,63,0,1
44-12,44,12,1,0
74-76,74,76,1,0
22-6,22,6,4,2
61-72,61,72,1,1
11-39,11,39,1,0
75-78,75,78,1,0
12-67,12,67,2,0
1-35,1,35,1,0
80-16,80,16,0,2
14-29,14,29,3,0
20-63,20,63,1,1
31-54,31,54,2,1
69-26,69,26,0,1
73-64,73,64,2,0
57-38,57,38,0,0
63-25,63,25,0,0
57-69,57,69,2,0
16-33,16,33,1,0
2-56,2,56,0,1
39-62,39,62,4,0
67-60,67,60,0,3
54-50,54,50,1,3
9-15,9,15,1,2
40-41,40,41,0,0
22-39,22,39,3,1
21-71,21,71,3,0
58-67,58,67,0,0
78-46,78,46,0,3
16-34,16,34,3,1
47-17,47,17,1,1
75-65,75,65,1,0
5-51,5,51,4,0
36-70,36,70,1,0
65-8,65,8,0,2
33-60,33,60,2,2
19-11,19,11,2,1
65-69,65,69,3,0
75-80,75,80,1,1
79-26,79,26,0,2
35-60,35,60,1,2
31-25,31,25,2,0
1-78,1,78,3,0
