matchKey,homeId,awayId,eventIndex,team,zona,chanceType,xg,finalizacao,finalizacao_base,condicao_atacante,bola_parada,reflexo,reflexo_base,condicao_goleiro,posicionamento,goal
31-6,31,6,1,visitante,MEI,NORMAL,0.3963,68,80,85,75,83,88,85,78,0
31-6,31,6,2,visitante,ATA,NORMAL,0.5878,62,80,78,75,81,88,78,78,0
31-6,31,6,3,mandante,ZAG,NORMAL,0.0208,53,75,70,75,89,99,70,91,0
31-6,31,6,4,visitante,ATA,CORNER,0.0251,50,80,63,89,77,88,63,78,1
31-6,31,6,5,mandante,VOL,NORMAL,0.0878,41,75,55,75,83,99,55,91,0
75-48,75,48,0,visitante,ATA,NORMAL,0.6000,58,62,94,75,59,60,94,50,0
75-48,75,48,1,visitante,VOL,NORMAL,0.1889,55,62,89,75,58,60,89,50,0
75-48,75,48,2,visitante,MEI,NORMAL,0.4326,51,62,83,75,56,60,83,50,0
75-48,75,48,3,mandante,ATA,NORMAL,0.4788,33,42,78,75,69,75,78,65,0
75-48,75,48,4,visitante,MEI,NORMAL,0.3959,45,62,72,75,54,60,72,50,0
75-48,75,48,5,visitante,ATA,NORMAL,0.6000,41,62,66,75,53,60,66,50,0
75-48,75,48,6,mandante,ATA,NORMAL,0.4984,26,42,61,75,65,75,61,65,1
22-4,22,4,0,visitante,ATA,NORMAL,0.5487,62,70,89,75,95,99,89,89,0
22-4,22,4,1,mandante,LAT,NORMAL,0.0897,62,79,78,75,78,85,78,70,1
22-4,22,4,2,mandante,ATA,NORMAL,0.5470,52,79,66,75,75,85,66,70,1
22-4,22,4,3,mandante,ATA,NORMAL,0.4806,43,79,55,75,72,85,55,70,0
45-38,45,38,0,mandante,ZAG,NORMAL,0.0243,57,61,94,75,96,98,94,88,0
45-38,45,38,1,visitante,ATA,NORMAL,0.5697,61,69,89,75,84,87,89,77,1
45-38,45,38,2,mandante,ATA,NORMAL,0.4799,51,61,83,75,92,98,83,88,1
45-38,45,38,3,mandante,ATA,NORMAL,0.4678,48,61,78,75,90,98,78,88,0
45-38,45,38,4,visitante,ATA,NORMAL,0.5141,50,69,72,75,78,87,72,77,1
45-38,45,38,5,visitante,VOL,NORMAL,0.1149,46,69,66,75,77,87,66,77,0
45-38,45,38,6,mandante,ZAG,NORMAL,0.0215,37,61,61,75,85,98,61,88,0
